item_name,ingredients
Cappuccino,"Espresso, Steamed Milk, Milk Foam"
Latte,"Espresso, Steamed Milk, Light Milk Foam"
Espresso,"Fine Ground Coffee Beans"
Mocha,"Espresso, Chocolate Syrup, Steamed Milk, Whipped Cream"
Cold Mocha,"Espresso, Chocolate Syrup, Cold Milk, Ice, Whipped Cream"
White Mocha,"Espresso, White Chocolate Syrup, Steamed Milk, Whipped Cream"
Cold Coffee,"Coffee, Cold Milk, Ice"
Flat White,"Espresso, Steamed Whole Milk"
Hot Chocolate,"Chocolate Syrup, Steamed Milk, Whipped Cream"
Caramel Macchiato,"Vanilla Syrup, Steamed Milk, Espresso, Caramel Drizzle"
Lemonade,"Fresh Lemon Juice, Sugar Syrup, Water, Ice"
Iced Tea,"Black Tea, Sugar Syrup, Ice"
